"plate"	"sample"	"strain"	"concentration"	"max_slope"	"max_size"
"190"	4	"B9"	"Windsor"	"0"	0.205884	1.083
"191"	4	"C10"	"Jean_Talon"	"2"	0.203368138667831	1.1245
"192"	4	"C11"	"Windsor"	"2"	0.192184	1.1297
"193"	4	"C2"	"BY_1n"	"2"	0.105312892247703	1.1051
"194"	4	"C3"	"cot1"	"2"	0.0799240000000003	0.91445
"195"	4	"C4"	"BY_2n"	"2"	0.115198073034397	1.0508
"196"	4	"C5"	"LL13_40"	"2"	0.178761810873014	1.1572
"197"	4	"C6"	"LL13_54"	"2"	0.163128	1.1285
"198"	4	"C7"	"Jean_Talon"	"2"	0.197230148015375	1.1625
"199"	4	"C8"	"London"	"2"	0.190689732396492	1.0871
"200"	4	"C9"	"Windsor"	"2"	0.189522246949776	1.0848
"201"	4	"D10"	"Jean_Talon"	"4"	0.200744	0.9148
"202"	4	"D11"	"Windsor"	"4"	0.155504982427071	1.0982
"203"	4	"D2"	"BY_1n"	"4"	0.0263839999999999	0.39095
"204"	4	"D3"	"cot1"	"4"	0.0156307860491841	0.30983
"205"	4	"D4"	"BY_2n"	"4"	0.0321919999999999	0.3712
"206"	4	"D5"	"LL13_40"	"4"	0.116572	0.97505
"207"	4	"D6"	"LL13_54"	"4"	0.130164143287564	0.98828
"208"	4	"D7"	"Jean_Talon"	"4"	0.154529953647272	1.0728
"209"	4	"D8"	"London"	"4"	0.167808	0.94305
"210"	4	"D9"	"Windsor"	"4"	0.160936	1.0918
"211"	4	"E10"	"Jean_Talon"	"6"	0.0453919999999999	0.56498
"212"	4	"E11"	"Windsor"	"6"	0.0373635156764354	0.6394
"213"	4	"E2"	"BY_1n"	"6"	0.01056	0.30805
"214"	4	"E3"	"cot1"	"6"	0.00758553118875847	0.24315
"215"	4	"E4"	"BY_2n"	"6"	0.013448	0.3314
"216"	4	"E5"	"LL13_40"	"6"	0.025470343109695	0.47918
"217"	4	"E6"	"LL13_54"	"6"	0.0242881332018458	0.47762
"218"	4	"E7"	"Jean_Talon"	"6"	0.0540880000000001	0.63462
"219"	4	"E8"	"London"	"6"	0.034876	0.61587
"220"	4	"E9"	"Windsor"	"6"	0.038652	0.64685
"221"	4	"F10"	"Jean_Talon"	"8"	0.0249880000000001	0.54053
"222"	4	"F11"	"Windsor"	"8"	0.0281977697618076	0.56135
"223"	4	"F2"	"BY_1n"	"8"	0.00691782087233384	0.2564
"224"	4	"F3"	"cot1"	"8"	0.00673385287825111	0.22093
"225"	4	"F4"	"BY_2n"	"8"	0.00776615205428183	0.26133
"226"	4	"F5"	"LL13_40"	"8"	0.00809200000000006	0.27358
"227"	4	"F6"	"LL13_54"	"8"	0.00756000000000007	0.27115
"228"	4	"F7"	"Jean_Talon"	"8"	0.0430898944577823	0.6128
"229"	4	"F8"	"London"	"8"	0.0248439732261496	0.48308
"230"	4	"F9"	"Windsor"	"8"	0.025504	0.51475
"231"	4	"G10"	"Jean_Talon"	"10"	0.0144951939454889	0.34705
"232"	4	"G11"	"Windsor"	"10"	0.0109643599134858	0.31222
"233"	4	"G2"	"BY_1n"	"10"	0.00601012835737238	0.22807
"234"	4	"G3"	"cot1"	"10"	0.00611008215114634	0.21493
