"VcfName","Pop"
"BKL.variant","01.W"
"BKM.variant","01.W"
"BKN.variant","01.W"
"BKP.variant","01.W"
"BKQ.variant","01.W"
"BKR.variant","01.W"
"BKS.variant","01.W"
"BKT.variant","01.W"
"BLA.variant","01.W"
"BLB.variant","01.W"
"BLC.variant","01.W"
"BLD.variant","01.W"
"BLE.variant","01.W"
"BLF.variant","01.W"
"BLG.variant","01.W"
"BLH.variant","01.W"
"BLI.variant","01.W"
"BLK.variant","01.W"
"BLL.variant","01.W"
"BLM.variant","01.W"
"BLN.variant","01.W"
"BLP.variant","01.W"
"BLQ.variant","01.W"
"BLR.variant","01.W"
"BLS.variant","01.W"
"BLT.variant","01.W"
"BLV.variant","01.W"
"BMA.variant","19.M"
"BMB.variant","19.M"
"BMC.variant","19.M"
"BMD.variant","M3.M"
"BME.variant","05.F"
"BMF.variant","M3.M"
"BMG.variant","08.M"
"BMH.variant","01.W2"
"BMI.variant","01.W2"
"BMK.variant","01.W2"
"BML.variant","08.M"
"BMM.variant","08.M"
"BMN.variant","01.W3"
"BMQ.variant","M3.M"
"BMR.variant","10.F"
"BMV.variant","10.F"
"BNA.variant","10.F"
"BNB.variant","10.F"
"BNC.variant","10.F"
"BND.variant","10.F"
"BNE.variant","01.W"
"BNF.variant","01.W"
"BNG.variant","01.W"
"BNH.variant","01.W"
"BNI.variant","01.W"
"BNK.variant","01.W"
"BNL.variant","01.W"
"BNM.variant","01.W"
"BNN.variant","01.W"
"BNP.variant","01.W"
"BNQ.variant","01.W"
"BNR.variant","01.W"
"BNT.variant","01.W"
"BNV.variant","01.W"
"BPA.variant","M3.M"
"BPB.variant","01.W"
"BPC.variant","01.W"
"BPF.variant","01.W"
"BPG.variant","01.W"
"BPH.variant","01.W"
"BPI.variant","unk"
"BPK.variant","01.W"
"BPL.variant","01.W4"
"BPM.variant","01.W"
"BPN.variant","unk"
"BPP.variant","01.W"
"BPQ.variant","01.W1"
"BPR.variant","01.W4"
"BPT.variant","01.W"
"BPV.variant","01.W"
"BQA.variant","01.W1"
"BQB.variant","01.W"
"BQC.variant","01.W"
"BQE.variant","01.W"
"BQG.variant","01.W"
"BQH.variant","01.W"
"BQI.variant","01.W"
"BQM.variant","01.W"
"BQN.variant","01.W1"
"BQP.variant","01.W"
"BQQ.variant","01.W"
"BQR.variant","01.W"
"BQS.variant","01.W"
"BQT.variant","01.W"
"BRA.variant","01.W"
"BRB.variant","01.W"
"BRC.variant","01.W1"
"BRD.variant","01.W"
"BRE.variant","01.W"
"BRF.variant","01.W"
"BRG.variant","26.A"
"BRH.variant","01.W"
"BRK.variant","02.A"
"BRL.variant","M3.M"
"BRM.variant","07.M"
"BRP.variant","11.A"
"BRQ.variant","11.A"
"BRV.variant","M3.M"
"BSA.variant","01.W"
