Strain	VcfName	Location	Country	Continent	Type	Source	Population
ZP633	ZP633.SRA.DIS.variant	Castelo de Vide  Portugal 	Portugal	Europe	Wild	Quercus pyrenaica	Med/oak
ZP636	ZP636.SRA.DIS.variant	Castelo de Vide  Portugal 	Portugal	Europe	Wild	Castanea sativa	Med/oak
ZP641	ZP641.SRA.DIS.variant	Castelo de Vide  Portugal 	Portugal	Europe	Domesticated	Spontaneous red wine fermentation	Europe/wine
ZP650	ZP650.SRA.DIS.variant	Japan	Japan	Asia	Wild	Quercus acutissima	Japan 2
ZP651	ZP651.SRA.DIS.variant	Japan	Japan	Asia	Wild	Quercus acutissima	Japan 2
ZP652	ZP652.SRA.DIS.variant	Japan	Japan	Asia	Wild	Quercus acutissima	Japan 2
ZP653	ZP653.SRA.DIS.variant	Japan	Japan	Asia	Wild	Quercus acutissima	Japan 2
ZP674	ZP674.SRA.DIS.variant	Japan	Japan	Asia	Wild	Quercus acutissima	Japan 2
ZP675	ZP675.SRA.DIS.variant	Japan	Japan	Asia	Wild	Quercus acutissima	Japan 2
ZP676	ZP676.SRA.DIS.variant	Japan	Japan	Asia	Wild	Quercus acutissima	Japan 2
ZP677	ZP677.SRA.DIS.variant	Japan	Japan	Asia	Wild	Quercus acutissima	Japan 2
ZP680	ZP680.SRA.DIS.variant	Japan	Japan	Asia	Wild	Quercus acutissima	Japan 2
ZP736	ZP736.SRA.DIS.variant	Caratão  Abrantes  Portugal	Portugal	Europe	Wild	Rotten figs	Med/oak
ZP742	ZP742.SRA.DIS.variant	Caratão  Abrantes  Portugal	Portugal	Europe	Wild	Rotten figs	Med/oak
ZP778	ZP778.SRA.DIS.variant	Japan	Japan	Asia	Wild	Quercus acutissima	Japan 1
ZP779	ZP779.SRA.DIS.variant	Japan	Japan	Asia	Wild	Quercus acutissima	Japan 1
ZP780	ZP780.SRA.DIS.variant	Japan	Japan	Asia	Wild	Quercus acutissima	Japan 1
ZP781	ZP781.SRA.DIS.variant	Japan	Japan	Asia	Wild	Quercus serrata	Japan 1
ZP783	ZP783.SRA.DIS.variant	Japan	Japan	Asia	Wild	Quercus acutissima	Japan 1
ZP784	ZP784.SRA.DIS.variant	Japan	Japan	Asia	Wild	Quercus dentata	Japan 1
ZP786	ZP786.SRA.DIS.variant	Japan	Japan	Asia	Wild	Quercus dentata	Japan 1
ZP793	ZP793.SRA.DIS.variant	Japan	Japan	Asia	Wild	Quercus dentata	Japan 1
ZP794	ZP794.SRA.DIS.variant	Japan	Japan	Asia	Wild	Quercus dentata	Japan 1
ZP796	ZP796.SRA.DIS.variant	Japan	Japan	Asia	Wild	Quercus dentata	Japan 1
ZP817	ZP817.SRA.DIS.variant	Japan	Japan	Asia	Wild	Quercus acutissima	Japan 1
ZP823	ZP823.SRA.DIS.variant	Japan	Japan	Asia	Wild	Quercus acutissima	Japan 1
ZP850	ZP850.SRA.DIS.variant	Alconorales Natural Park  Andaluzia  Spain	Spain	Europe	Wild	Quercus ilex	Med/oak
ZP851	ZP851.SRA.DIS.variant	Alconorales Natural Park  Andaluzia  Spain	Spain	Europe	Wild	Quercus ilex	Med/oak
ZP860	ZP860.SRA.DIS.variant	Alconorales Natural Park  Andaluzia  Spain	Spain	Europe	Wild	Quercus ilex	Med/oak
ZP861	ZP861.SRA.DIS.variant	Caratão  Abrantes  Portugal	Portugal	Europe	Wild	Sun-dryed apple with ants 	Europe/wine
ZP862	ZP862.SRA.DIS.variant	Caratão  Abrantes  Portugal	Portugal	Europe	Wild	Apple with insect holes	Europe/wine
ZTW1	ZTW1.asm.ASM.DIS.variant	China	China	Asia	Domesticated	Corn mash ethanol fermentation	Asia/sake
