gr	sample	Type2	Groups2	Geographic origin	Substrate	Type	Country
Group2	CFI	Beer	08.M	UK	Carlsberg Beer	Carlesberg	UK
Group2	Jean-Talon	unk	unk	unk	unk	unk	unk
Group2	CHK	Beer	08.M	UK	Brewery	Beer	UK
Group2	APL	Baking	08.M	Turkey	type yeasts of the species Saccharomyces cerevisiae in different sugar media", Letters in Applied Microbiology 2001	Baking	Turkey
Group2	AEV	Wild	08.M	Rotterdam, Netherlands	Tapwater	Water	Netherlands
Group3	SP003	Spirits	Mixed	Unknown	Spirits	Spirits	unk
Group3	BTD	Baking	08.M	unk	type yeasts of the species Saccharomyces cerevisiae in different sugar media", Letters in Applied Microbiology 2001	Baking	unk
Group3	BFG	Wild	08.M	unk	Rotten wood	Nature	unk
Group3	BE038	Beer	Mixed	Unknown	Beer (Lager)	Lager	Unknown
Group3	BFE	Wild	08.M	unk	Spoiled gooseberry juice	Food	unk
Group3	BFM	Wild	08.M	Slovenia	Petrol station, oil contaminated asphalt	Industrial	Slovenia
Group3	BE061	Beer	Mixed	Germany	Beer (Alt)	Alt	Germany
Group3	L.Brewferm	Beer	Beer/baking	unk	Commercial Lager	Lager	unk
Group3	ADL	Baking	08.M	Netherlands	Bakery	Baking	Netherlands
Group3	BDL	Beer	08.M	Equador	Beer	Beer	Equador
Group3	SP009	Spirits	Mixed/Mosaic	US (Tennessee)	Spirits	Spirits	USA
Group3	YO734	Wild	Beer/baking	Yosemite, California, United States	D. pseudoobscura	Insect	USA
Group3	ABM5	Baking	Beer/baking	unk	Commercial Baking	Baking	unk
Group3	ABM4	Baking	Beer/baking	unk	Commercial Baking	Baking	unk
Group3	ABM3	Baking	Beer/baking	unk	Commercial Baking	Baking	unk
Group3	CHH	Baking	08.M	France	Bakery	Baking	France
Group3	BR004	Baking	Mixed	Belgium	Bread	Baking	Belgium
Group3	BE023	Beer	Mixed	Belgium	Beer (Ale refermentation)	Ale	Belgium
Group3	CHG	Baking	08.M	Vietnam	Bakery	Baking	Vietnam
Group3	AKT	Wild	08.M	Pichincha, Ecuador	Stingless bee	Insect	Ecuador
Group3	ADM	Baking	08.M	Vietnam	Bakery	Baking	Vietnam
Group3	TUM480	Beer	Beer/Bread	South Africa	Opaque beer	Opaque	South Africa
Group3	CHR	Clinical	08.M	France	Vagina	Human	France
Group3	BR003	Baking	Mixed	Belgium	Bread	Baking	Belgium
Group3	BR002	Baking	Mixed	Belgium	Bread	Baking	Belgium
Group3	BML	Clinical	08.M	Belgium	Vagina	Human	Belgium
Group3	CKS	Clinical	08.M	France	Unknown	Human	France
Group3	BE025	Beer	Mixed	Belgium	Beer (Ale refermentation)	Ale	Belgium
Group3	CLA	Clinical	08.M	France	Unknown	Human	France
Group3	BTE	Baking	08.M	unk	type yeasts of the species Saccharomyces cerevisiae in different sugar media", Letters in Applied Microbiology 2001	Baking	unk
Group3	BMM	Clinical	08.M	Vall d'Hebron hospital, Barcelona, Spain	Vagina	Human	Spain
Group3	BR001	Baking	Mixed	Unknown	Bread	Baking	unk
Group3	WL007	Wild	Mixed	Denmark	Wild	Wild	Denmark
Group3	WL006	Wild	Mixed	Denmark	Wild	Wild	Denmark
Group3	CKK	Clinical	08.M	Amiens, France	Feces, clinical	Human	France
Group3	CBF	Baking	08.M	Matera, Italy	Sourdough levan	Baking	Italy
Group4	AFT	Clinical	08.M	Austria	Infected nail of 4 yo girl	Human	Austria
Group4	AEM	Beer	08.M	unk	Beer wort	Beer	unk
